,MTH,DEALER_ID,LISTING_AD_ID,LISTING_NEW_USED,LISTING_MANUFACTURER,LISTING_TYPE,DMA_NAME,REALM_NAME,CUSTOMER_TYPE,INVENTORY,SRPS,VDPS,WEBREFERRALS,MAPS,EMAIL
175872,4,0,5006413160,U,INTERNATIONAL,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,5360,100,0,0,3
194358,5,0,5006413160,U,INTERNATIONAL,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,157,10,0,0,2
3754,3,0,5006413160,U,INTERNATIONAL,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,4685,77,0,0,0
121380,3,0,5006413160,U,INTERNATIONAL,STANDARD,atlanta,Commercial Truck,PRIVATE PARTY,1,363,13,0,0,0
183854,2,0,5006413160,U,INTERNATIONAL,STANDARD,atlanta,Commercial Truck,PRIVATE PARTY,1,450,14,0,0,0
191807,3,0,5006415983,U,FREIGHTLINER,STANDARD,atlanta,Commercial Truck,PRIVATE PARTY,1,109,0,0,0,0
132189,2,0,5006415983,U,FREIGHTLINER,STANDARD,atlanta,Commercial Truck,PRIVATE PARTY,1,118,5,0,0,0
84423,3,0,5006422048,U,PETERBILT,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,3982,25,0,0,0
28448,4,0,5006422048,U,PETERBILT,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,1706,7,0,0,0
166434,2,0,5006422048,U,PETERBILT,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,6214,31,0,0,0
151709,2,0,5006422496,U,GMC,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,2271,35,0,0,0
147165,3,2795378,5006426162,U,CHEVROLET,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
97274,2,2795378,5006426162,U,CHEVROLET,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
