,MTH,DEALER_ID,LISTING_AD_ID,LISTING_NEW_USED,LISTING_MANUFACTURER,LISTING_TYPE,DMA_NAME,REALM_NAME,CUSTOMER_TYPE,INVENTORY,SRPS,VDPS,WEBREFERRALS,MAPS,EMAIL
181575,2,738050,5006407763,U,VOLVO,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
202939,3,738050,5006407763,U,VOLVO,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
119990,3,738050,5006407861,U,INTERNATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
186414,2,738050,5006407861,U,INTERNATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
83982,2,738050,5006407966,U,VOLVO,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
15933,3,738050,5006407966,U,VOLVO,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
196947,2,738050,5006408034,U,INTERNATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
122329,3,738050,5006408034,U,INTERNATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
199203,2,0,5006408720,U,FORD,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,2721,35,0,0,0
41771,3,0,5006408720,U,FORD,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,1666,51,0,0,1
184856,4,0,5006408720,U,FORD,FEATURED,atlanta,Commercial Truck,PRIVATE PARTY,1,263,12,0,0,1
80352,2,2934876,5006410502,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,2,0,0,0,0
1253,3,2934876,5006410502,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
120543,3,2934876,5006410505,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,11,0,0,0,0
179816,2,2934876,5006410505,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
116214,2,2934876,5006410507,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
168242,3,2934876,5006410507,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,6,0,0,0,0
138828,2,2934876,5006410508,U,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
